DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Belgium,2011,7.3,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Belgium,2012,7.5,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Belgium,2013,8.3,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Belgium,2014,8.1,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Belgium,2015,7.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Belgium,2016,7.6,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Belgium,2017,7.1,b,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Belgium,2018,5.6,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Belgium,2019,5.0,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Belgium,2020,5.5,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Belgium,2021,5.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Belgium,2022,5.3,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Belgium,2023,5.1,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Belgium,2024,5.3,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bulgaria,2009,7.7,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bulgaria,2010,10.6,b,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bulgaria,2011,11.1,b,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bulgaria,2012,11.8,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bulgaria,2013,12.8,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bulgaria,2014,11.3,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bulgaria,2015,9.3,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bulgaria,2016,7.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bulgaria,2017,6.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bulgaria,2018,5.6,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bulgaria,2019,4.8,b,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bulgaria,2020,5.6,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bulgaria,2021,4.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bulgaria,2022,3.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bulgaria,2023,4.2,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Bulgaria,2024,3.9,b,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Switzerland,2010,5.2,b,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Switzerland,2011,4.8,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Switzerland,2012,4.7,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Switzerland,2013,4.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Switzerland,2014,5.0,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Switzerland,2015,4.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Switzerland,2016,5.0,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Switzerland,2017,5.1,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Switzerland,2018,5.1,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Switzerland,2019,4.7,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Switzerland,2020,5.0,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Switzerland,2021,5.3,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Switzerland,2022,4.4,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Switzerland,2023,4.3,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Switzerland,2024,4.6,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Cyprus,2009,5.5,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Cyprus,2010,6.4,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Cyprus,2011,7.7,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Cyprus,2012,11.1,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Cyprus,2013,15.2,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Cyprus,2014,15.1,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Cyprus,2015,14.8,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Cyprus,2016,13.4,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Cyprus,2017,11.3,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Cyprus,2018,8.8,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Cyprus,2019,7.7,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Cyprus,2020,7.5,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Cyprus,2021,7.3,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Cyprus,2022,6.8,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Cyprus,2023,5.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Cyprus,2024,5.1,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Czechia,2009,7.7,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Czechia,2010,8.5,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Czechia,2011,7.9,b,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Czechia,2012,8.2,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Czechia,2013,8.3,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Czechia,2014,7.4,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Czechia,2015,6.1,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Czechia,2016,4.7,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Czechia,2017,3.6,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Czechia,2018,2.8,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Czechia,2019,2.4,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Czechia,2020,3.0,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Czechia,2021,3.4,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Czechia,2022,2.8,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Czechia,2023,3.1,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Czechia,2024,3.0,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Germany,2009,6.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Germany,2010,6.1,b,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Germany,2011,5.3,b,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Germany,2012,4.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Germany,2013,4.6,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Germany,2014,4.4,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Germany,2015,4.0,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Germany,2016,3.5,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Germany,2017,3.1,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Germany,2018,2.7,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Germany,2019,2.6,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Germany,2020,3.2,b,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Germany,2021,3.2,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Germany,2022,2.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Germany,2023,2.8,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Germany,2024,3.1,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Denmark,2009,5.7,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Denmark,2010,6.8,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Denmark,2011,7.6,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Denmark,2012,7.8,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Denmark,2013,7.7,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Denmark,2014,7.1,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Denmark,2015,6.5,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Denmark,2016,6.4,b,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Denmark,2017,6.1,b,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Denmark,2018,5.3,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Denmark,2019,5.3,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Denmark,2020,6.0,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Denmark,2021,5.2,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Denmark,2022,4.5,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Denmark,2023,5.3,b,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Denmark,2024,6.5,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Euro area – 20 countries (2023-2025),2009,9.8,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Euro area – 20 countries (2023-2025),2010,10.4,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Euro area – 20 countries (2023-2025),2011,10.5,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Euro area – 20 countries (2023-2025),2012,11.7,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Euro area – 20 countries (2023-2025),2013,12.3,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Euro area – 20 countries (2023-2025),2014,11.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Euro area – 20 countries (2023-2025),2015,11.2,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Euro area – 20 countries (2023-2025),2016,10.5,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Euro area – 20 countries (2023-2025),2017,9.5,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Euro area – 20 countries (2023-2025),2018,8.6,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Euro area – 20 countries (2023-2025),2019,8.0,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Euro area – 20 countries (2023-2025),2020,8.3,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Euro area – 20 countries (2023-2025),2021,8.2,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Euro area – 20 countries (2023-2025),2022,7.2,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Euro area – 20 countries (2023-2025),2023,6.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Euro area – 20 countries (2023-2025),2024,6.6,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Estonia,2009,10.2,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Estonia,2010,13.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Estonia,2011,11.5,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Estonia,2012,8.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Estonia,2013,8.0,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Estonia,2014,6.7,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Estonia,2015,6.2,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Estonia,2016,6.1,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Estonia,2017,5.1,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Estonia,2018,5.2,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Estonia,2019,4.8,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Estonia,2020,6.6,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Estonia,2021,5.6,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Estonia,2022,5.1,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Estonia,2023,6.7,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Estonia,2024,7.5,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Greece,2009,13.5,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Greece,2010,16.7,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Greece,2011,21.8,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Greece,2012,28.6,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Greece,2013,31.7,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Greece,2014,30.4,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Greece,2015,29.0,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Greece,2016,28.5,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Greece,2017,26.4,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Greece,2018,24.7,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Greece,2019,22.4,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Greece,2020,21.5,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Greece,2021,18.9,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Greece,2022,16.4,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Greece,2023,14.3,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Greece,2024,12.8,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Spain,2009,18.1,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Spain,2010,20.2,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Spain,2011,21.8,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Spain,2012,25.1,,
ESTAT:UNE_RT_A(1.0),11/12/25 23:00:00,Annual,From 15 to 74 years,Percentage of population in the labour force,Females,Spain,2013,26.7,,
