DATAFLOW,LAST UPDATE,freq,unit,indic_il,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Switzerland,2023,17.1,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Switzerland,2024,16.8,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2005,17.6,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2006,17.7,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2007,17.4,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2008,18.1,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2009,17.8,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2010,17.2,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2011,16.6,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2012,16.4,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2013,16.5,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2014,15.6,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2015,17.2,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2016,17.2,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2017,16.8,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2018,15.9,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2019,16.5,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2020,16.0,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2021,14.8,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2022,15.9,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2023,16.3,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Cyprus,2024,16.0,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2005,11.0,b,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2006,10.8,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2007,10.5,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2008,10.1,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2009,9.5,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2010,10.0,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2011,10.6,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2012,10.5,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2013,9.4,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2014,10.5,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2015,11.0,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2016,10.8,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2017,10.7,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2018,11.4,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2019,12.1,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2020,11.7,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2021,10.0,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2022,12.2,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2023,11.6,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Czechia,2024,10.6,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2005,12.9,b,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2006,13.0,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2007,16.3,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2008,16.2,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2009,16.3,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2010,16.4,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2011,16.8,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2012,17.2,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2013,17.2,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2014,17.4,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2015,17.4,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2016,17.8,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2017,17.1,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2018,16.8,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2019,15.7,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2020,16.8,b,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2021,16.6,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2022,15.5,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2023,15.1,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Germany,2024,16.2,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Denmark,2005,12.1,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Denmark,2006,12.0,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Denmark,2007,12.0,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Denmark,2008,12.0,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Denmark,2009,13.4,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Denmark,2010,13.4,,
ESTAT:ILC_LI02(1.0),22/12/25 23:00:00,Annual,Percentage,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Females,Total,Denmark,2011,12.0,,
