DATAFLOW,LAST UPDATE,freq,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2015,24.1,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2016,24.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2017,22.8,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2018,24.3,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2019,24.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2020,24.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2021,25.4,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2022,25.6,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2023,25.7,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Belgium,2024,25.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2004,25.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2005,26.1,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2006,26.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2007,26.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2008,27.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2009,26.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2010,27.4,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2011,27.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2012,27.1,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2013,26.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2014,26.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2015,26.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2016,27.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2017,26.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2018,27.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2019,27.7,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2020,27.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2021,28.3,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2022,28.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2023,28.2,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Bulgaria,2024,26.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2000,24.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2001,24.7,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2002,25.1,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2003,24.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2004,25.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2005,25.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2006,25.3,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2007,25.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2008,25.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2009,25.7,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2010,25.2,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2011,25.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2012,25.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2013,26.7,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2014,27.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2015,27.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2016,26.7,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2017,26.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2018,26.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2019,26.2,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2020,26.2,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2021,26.8,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2022,26.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2023,26.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Cyprus,2024,26.7,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2002,25.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2003,25.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2004,25.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2005,25.7,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2006,25.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2007,26.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2008,26.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2009,25.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2010,25.7,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2011,25.9,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2012,25.6,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2013,25.6,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2014,25.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2015,25.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2016,24.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2017,25.1,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2018,25.1,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2019,24.7,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2020,24.7,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2021,24.7,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2022,24.6,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2023,24.1,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Czechia,2024,24.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2000,22.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2001,22.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2002,22.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2003,22.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2004,22.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2005,22.7,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2006,22.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2007,22.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2008,22.7,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2009,22.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2010,23.1,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2011,23.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2012,22.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2013,22.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2014,22.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2015,22.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2016,22.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2017,22.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2018,22.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2019,22.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2020,23.1,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2021,22.9,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2022,23.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2023,23.2,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Germany,2024,23.2,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Denmark,2010,21.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Denmark,2011,20.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Denmark,2012,20.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Denmark,2013,20.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Denmark,2014,20.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Denmark,2015,20.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Denmark,2016,20.7,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Denmark,2017,20.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Denmark,2018,20.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Denmark,2019,20.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Denmark,2020,20.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Denmark,2021,21.4,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Denmark,2022,21.3,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Denmark,2023,21.3,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Denmark,2024,21.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2000,23.1,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2001,23.2,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2002,23.3,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2003,23.1,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2004,22.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2005,23.6,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2006,24.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2007,24.3,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2008,23.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2009,23.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2010,23.2,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2011,23.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2012,23.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2013,23.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2014,23.2,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2015,23.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2016,23.2,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2017,22.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2018,21.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2019,21.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2020,22.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2021,22.1,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2022,22.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2023,22.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Estonia,2024,21.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2000,26.7,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2001,26.7,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2002,26.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2003,26.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2004,26.0,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2005,26.6,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2006,26.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2007,27.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2008,27.1,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2009,26.8,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2010,26.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2011,27.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2012,27.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2013,27.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2014,28.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2015,28.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2016,27.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2017,28.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2018,28.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2019,27.7,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2020,28.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2021,29.6,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2022,29.2,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2023,28.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Greece,2024,28.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2000,28.6,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2001,28.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2002,28.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2003,28.3,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2004,28.1,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2005,27.7,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2006,27.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2007,27.7,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2008,27.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2009,27.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2010,27.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2011,27.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2012,27.7,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2013,27.9,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2014,28.2,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2015,28.0,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2016,28.3,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2017,28.3,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2018,28.6,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2019,28.7,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2020,28.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2021,29.3,b,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2022,29.8,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2023,29.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,Spain,2024,29.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,European Union - 27 countries (from 2020),2002,25.3,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,European Union - 27 countries (from 2020),2003,25.1,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,European Union - 27 countries (from 2020),2004,25.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,European Union - 27 countries (from 2020),2005,25.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,European Union - 27 countries (from 2020),2006,25.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,European Union - 27 countries (from 2020),2007,25.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,European Union - 27 countries (from 2020),2008,25.5,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,European Union - 27 countries (from 2020),2009,25.3,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,European Union - 27 countries (from 2020),2010,25.3,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,European Union - 27 countries (from 2020),2011,25.4,,
ESTAT:YTH_DEMO_030(1.0),11/12/25 23:00:00,Annual,Average,Females,European Union - 27 countries (from 2020),2012,25.3,,
